source_id,source_label,source_name,relationship,target_id,target_label,target_name
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:882,Clause,SOLAS II-2/4.2.5.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:883,Clause,SOLAS II-2/4.2.5.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:884,Clause,SOLAS II-2/4.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:885,Clause,SOLAS II-2/4.4.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:886,Clause,SOLAS II-2/4.4.2
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:887,Clause,SOLAS II-2/4.4.3
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:888,Clause,SOLAS II-2/4.4.4
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:889,Clause,SOLAS II-2/4.5.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:890,Clause,SOLAS II-2/4.5.1.1
4:997e3eb0-43cb-4030-b3bd-3906f12679d0:435,Regulation,SOLAS II-2,HAS_CLAUSE,4:997e3eb0-43cb-4030-b3bd-3906f12679d0:891,Clause,SOLAS II-2/4.5.1.2
